estado,Hombre,Mujer,brecha_pct
Aguascalientes,46.99728,43.75,6.9
Baja California,62.5,62.5,0.0
Baja California Sur,67.7059375,62.5,7.7
Campeche,41.887797500000005,40.69767,2.8
Chiapas,34.76891,35.8580575,-3.1
Chihuahua,61.805555,60.0,2.9
Ciudad de México,48.443555,48.214285000000004,0.5
Coahuila,51.68,51.21951,0.9
Colima,53.333335,50.0,6.3
Durango,46.51163,46.439645,0.2
Guanajuato,46.026315,45.0694425,2.1
Guerrero,42.005815,42.3594975,-0.8
Hidalgo,42.6685475,41.66667,2.3
Jalisco,50.0,44.9166675,10.2
Michoacán,45.854380000000006,42.3421725,7.7
Morelos,39.6560075,36.66667,7.5
México,36.639089999999996,39.638245,-8.2
Nayarit,53.8794175,50.0,7.2
Nuevo León,58.13953,56.9937725,2.0
Oaxaca,38.75969,36.971515,4.6
Puebla,37.5,36.830855,1.8
Querétaro,48.6482575,50.0,-2.8
Quintana Roo,54.791665,51.51515,6.0
San Luis Potosí,46.51163,43.6,6.3
Sinaloa,55.55556,53.57143,3.6
Sonora,52.430555,55.585547500000004,-6.0
Tabasco,41.668335,40.0,4.0
Tamaulipas,50.0,46.695814999999996,6.6
Tlaxcala,37.438725,35.488335000000006,5.2
Veracruz,41.66667,38.129845,8.5
Yucatán,47.916664999999995,46.33274,3.3
Zacatecas,42.129630000000006,41.67,1.1
