sector,sexo,pct_informalidad
Agropecuario,Hombre,13.7
Agropecuario,Mujer,16.6
Comercio,Hombre,50.0
Comercio,Mujer,32.5
Construcción,Hombre,18.0
Construcción,Mujer,65.4
Gobierno,Hombre,83.3
Gobierno,Mujer,80.0
Industria extractiva,Hombre,83.7
Industria extractiva,Mujer,91.1
Manufactura,Hombre,67.5
Manufactura,Mujer,58.1
Restaurantes y hospedaje,Hombre,38.8
Restaurantes y hospedaje,Mujer,21.7
Servicios diversos,Hombre,27.6
Servicios diversos,Mujer,11.7
Servicios financieros y profesionales,Hombre,70.3
Servicios financieros y profesionales,Mujer,72.1
Servicios sociales,Hombre,83.6
Servicios sociales,Mujer,79.6
Transportes y comunicaciones,Hombre,49.3
Transportes y comunicaciones,Mujer,77.2
